short_name,club_name,player_name,club_involved_name,fee_cleaned,league_name,year,age,position,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
M. Guendouzi,Arsenal FC,Mattéo Guendouzi,Hertha BSC,0.9,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Mavropanos,Arsenal FC,Konstantinos Mavropanos,VfB Stuttgart,0.225,Premier League,2020,23.0,Defender,0.0,0.0,0.0,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
S. Hogan,Aston Villa,Scott Hogan,Birmingham,2.49,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Knockaert,Brighton & Hove Albion,Anthony Knockaert,Fulham,10.53,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Mooy,Brighton & Hove Albion,Aaron Mooy,SH SIPG,4.05,Premier League,2020,30.0,Midfielder,2090.0,1010.0,1080.0,Australia,31.0,16.0,15.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,7.0,3.0,4.0,30.0,15.0,15.0,3.0,1.0,0.17,0.09,0.09,0.09,0.08,1045.0,1.29,70.0,67.0,697.0,1045.0,0.13,164.0,140.0,-1.0,8.0
S. Duffy,Brighton & Hove Albion,Shane Duffy,Celtic,1.98,Premier League,2020,29.0,Defender,1231.0,688.0,543.0,Republic of Ireland,19.0,9.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,15.0,8.0,7.0,2.0,0.0,0.07,0.0,0.07,0.13,0.0,1231.0,1.1,82.0,65.0,616.0,0.0,0.15,187.0,349.0,50.0,12.0
D. Stephens,Brighton & Hove Albion,Dale Stephens,Burnley,0.99,Premier League,2020,31.0,Midfielder,2529.0,1185.0,1344.0,England,33.0,16.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,4.0,5.0,40.0,16.0,24.0,8.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,1.42,63.0,77.0,316.0,2529.0,0.28,407.0,227.0,-1.0,22.0
D. Button,Brighton & Hove Albion,David Button,West Brom,0.99,Premier League,2020,32.0,Goalkeeper,0.0,0.0,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
Á. Morata,Chelsea FC,Álvaro Morata,Atlético Madrid,31.5,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Pasalic,Chelsea FC,Mario Pasalic,Atalanta BC,13.5,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan,Chelsea FC,Nathan,Atlético-MG,2.7,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Sarr,Chelsea FC,Malang Sarr,FC Porto,1.8,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Bakayoko,Chelsea FC,Tiemoué Bakayoko,SSC Napoli,1.8,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Moses,Chelsea FC,Victor Moses,Spartak Moscow,0.27,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Sörloth,Crystal Palace,Alexander Sörloth,RB Leipzig,18.0,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Schneiderlin,Everton FC,Morgan Schneiderlin,OGC Nice,2.0,Premier League,2020,31.0,Midfielder,1004.0,462.0,542.0,France,15.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,6.0,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,67.0,67.0,167.0,0.0,0.54,394.0,376.0,-1.0,21.0
K. Dowell,Everton FC,Kieran Dowell,Norwich,1.98,Premier League,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
