club_name,player_name,club_involved_name,fee_cleaned,league_name,year,short_name
Newcastle United,Matz Sels,R. Strasbourg,3.6,Premier League,2018,M. Sels
Newcastle United,Dwight Gayle,West Brom,1.8,Premier League,2018,D. Gayle
Newcastle United,Adam Armstrong,Blackburn,1.71,Premier League,2018,A. Armstrong
Newcastle United,Henri Saivet,Bursaspor,0.81,Premier League,2018,H. Saivet
Newcastle United,Ivan Toney,Peterborough,0.351,Premier League,2018,I. Toney
AFC Bournemouth,Benik Afobe,Wolves,10.26,Premier League,2018,B. Afobe
AFC Bournemouth,Lewis Grabban,Nottm Forest,6.12,Premier League,2018,L. Grabban
AFC Bournemouth,Max Gradel,Toulouse,1.8,Premier League,2018,M. Gradel
West Ham United,Cheikhou Kouyaté,Crystal Palace,9.63,Premier League,2018,C. Kouyaté
West Ham United,Reece Burke,Hull City,1.53,Premier League,2018,R. Burke
West Ham United,Domingos Quina,Watford,0.99,Premier League,2018,D. Quina
West Ham United,Edimilson Fernandes,Fiorentina,0.779,Premier League,2018,E. Fernandes
Watford FC,Richarlison,Everton,35.28,Premier League,2018,Richarlison
Watford FC,Nordin Amrabat,Al-Nassr,7.65,Premier League,2018,N. Amrabat
Watford FC,Mauro Zárate,Boca Juniors,2.07,Premier League,2018,M. Zárate
Watford FC,Dodi Lukebakio,F. Düsseldorf,0.27,Premier League,2018,D. Lukebakio
Brighton & Hove Albion,Sam Baldock,Reading,3.51,Premier League,2018,S. Baldock
Brighton & Hove Albion,Connor Goldson,Rangers,3.06,Premier League,2018,C. Goldson
Brighton & Hove Albion,Jamie Murphy,Rangers,1.08,Premier League,2018,J. Murphy
Brighton & Hove Albion,Jiri Skalak,Millwall,0.9,Premier League,2018,J. Skalak
Huddersfield Town,Tom Ince,Stoke City,10.08,Premier League,2018,T. Ince
Huddersfield Town,Michael Hefele,Nottm Forest,0.297,Premier League,2018,M. Hefele
Southampton FC,Dusan Tadic,Ajax,10.26,Premier League,2018,D. Tadic
Wolverhampton Wanderers,Barry Douglas,Leeds,3.06,Premier League,2018,B. Douglas
Wolverhampton Wanderers,Ben Marshall,Norwich,1.53,Premier League,2018,B. Marshall
Wolverhampton Wanderers,Roderick Miranda,Olympiacos,0.45,Premier League,2018,R. Miranda
Wolverhampton Wanderers,Prince Oniangué,SM Caen,0.45,Premier League,2018,P. Oniangué
Fulham FC,David Button,Brighton,4.05,Premier League,2018,D. Button
Manchester City,Brahim Díaz,Real Madrid,15.3,Premier League,2018,B. Díaz
Manchester United,Marouane Fellaini,SD Luneng,6.48,Premier League,2018,M. Fellaini
Tottenham Hotspur,Mousa Dembélé,GZ R&F,4.82,Premier League,2018,M. Dembélé
Liverpool FC,Dominic Solanke,Bournemouth,19.08,Premier League,2018,D. Solanke
Chelsea FC,Cesc Fàbregas,Monaco,8.1,Premier League,2018,C. Fàbregas
Chelsea FC,Álvaro Morata,Atlético Madrid,6.3,Premier League,2018,Á. Morata
Chelsea FC,Michy Batshuayi,Crystal Palace,1.04,Premier League,2018,M. Batshuayi
Burnley FC,Sam Vokes,Stoke City,7.2,Premier League,2018,S. Vokes
Everton FC,Tyias Browning,GZ Evergrande,4.14,Premier League,2018,T. Browning
Leicester City,Vicente Iborra,Villarreal,9.0,Premier League,2018,V. Iborra
Newcastle United,Jacob Murphy,West Brom,0.45,Premier League,2018,J. Murphy
Crystal Palace,Alexander Sörloth,KAA Gent,0.315,Premier League,2018,A. Sörloth
West Ham United,Reece Oxford,FC Augsburg,0.45,Premier League,2018,R. Oxford
Watford FC,Stefano Okaka,Udinese Calcio,0.45,Premier League,2018,S. Okaka
Watford FC,Valber Huerta,CDUC,0.396,Premier League,2018,V. Huerta
Watford FC,Marvin Zeegelaar,Udinese Calcio,0.27,Premier League,2018,M. Zeegelaar
Watford FC,Ben Wilmot,Udinese Calcio,0.27,Premier League,2018,B. Wilmot
Brighton & Hove Albion,Oliver Norwood,Sheffield Utd.,1.98,Premier League,2018,O. Norwood
Brighton & Hove Albion,Mathias Normann,Rostov,1.53,Premier League,2018,M. Normann
Brighton & Hove Albion,Ezequiel Schelotto,Chievo Verona,0.198,Premier League,2018,E. Schelotto
Huddersfield Town,Ramadan Sobhi,El Ahly,0.72,Premier League,2018,R. Sobhi
Southampton FC,Manolo Gabbiadini,Sampdoria,10.71,Premier League,2018,M. Gabbiadini
Southampton FC,Cédric Soares,Inter,0.45,Premier League,2018,C. Soares
Wolverhampton Wanderers,Benik Afobe,Stoke City,12.15,Premier League,2018,B. Afobe
Wolverhampton Wanderers,Danny Batth,Stoke City,3.11,Premier League,2018,D. Batth
Wolverhampton Wanderers,Ben Stevenson,Colchester Utd.,0.225,Premier League,2018,B. Stevenson
Fulham FC,Cauley Woodrow,Barnsley FC,0.765,Premier League,2018,C. Woodrow
Chelsea FC,Nemanja Matic,Man Utd,40.23,Premier League,2017,N. Matic
Chelsea FC,Nathan Aké,Bournemouth,20.52,Premier League,2017,N. Aké
Chelsea FC,Juan Cuadrado,Juventus,18.0,Premier League,2017,J. Cuadrado
Chelsea FC,Asmir Begovic,Bournemouth,10.35,Premier League,2017,A. Begovic
Chelsea FC,Bertrand Traoré,Olympique Lyon,9.0,Premier League,2017,B. Traoré
Chelsea FC,Kurt Zouma,Stoke City,7.02,Premier League,2017,K. Zouma
Chelsea FC,Christian Atsu,Newcastle,6.75,Premier League,2017,C. Atsu
Chelsea FC,Nathaniel Chalobah,Watford,5.67,Premier League,2017,N. Chalobah
Tottenham Hotspur,Kyle Walker,Man City,47.43,Premier League,2017,K. Walker
Tottenham Hotspur,Kevin Wimmer,Stoke City,17.46,Premier League,2017,K. Wimmer
Tottenham Hotspur,Nabil Bentaleb,FC Schalke 04,17.1,Premier League,2017,N. Bentaleb
Tottenham Hotspur,Clinton N'Jie,Marseille,6.3,Premier League,2017,C. N'Jie
Tottenham Hotspur,Federico Fazio,AS Roma,2.88,Premier League,2017,F. Fazio
Tottenham Hotspur,Vincent Janssen,Fenerbahce,2.25,Premier League,2017,V. Janssen
Manchester City,Kelechi Iheanacho,Leicester,24.93,Premier League,2017,K. Iheanacho
Manchester City,Enes Ünal,Villarreal,12.6,Premier League,2017,E. Ünal
Manchester City,Wilfried Bony,Swansea,11.7,Premier League,2017,W. Bony
Manchester City,Aaron Mooy,Huddersfield,8.19,Premier League,2017,A. Mooy
Manchester City,Nolito,Sevilla FC,6.3,Premier League,2017,Nolito
Manchester City,Fernando Reges,Galatasaray,5.4,Premier League,2017,F. Reges
Manchester City,Aleksandar Kolarov,AS Roma,4.5,Premier League,2017,A. Kolarov
Manchester City,Samir Nasri,Antalyaspor,3.15,Premier League,2017,S. Nasri
Manchester City,Joe Hart,West Ham,2.07,Premier League,2017,J. Hart
Manchester City,Rubén Sobrino,Alavés,1.8,Premier League,2017,R. Sobrino
